subject_line,open_rate,click_rate,email_type,audience,tone
Your Application Status,36,52,Follow-up,Client,Friendly
Last Chance to Apply,82,11,Job,Customer,Formal
Urgent: Interview Update,40,18,Marketing,HR,Friendly
Internship Opportunity,61,19,Announcement,Professor,Formal
Last Chance to Apply,79,32,Follow-up,Professor,Friendly
Important Job Opportunity,83,26,Job,HR,Persuasive
Your Application Status,57,59,Follow-up,Professor,Formal
Quick Follow-Up,69,12,Announcement,HR,Urgent
Project Update,91,60,Follow-up,Client,Formal
Urgent: Interview Update,77,19,Follow-up,HR,Friendly
Your Application Status,59,22,Announcement,Professor,Friendly
Exclusive Offer Inside,57,18,Follow-up,HR,Friendly
Internship Opportunity,81,20,Marketing,Customer,Persuasive
Meeting Reminder,94,45,Marketing,Professor,Formal
Important Job Opportunity,87,7,Follow-up,Customer,Urgent
Your Application Status,48,41,Follow-up,Client,Persuasive
Action Required Today,91,46,Announcement,Client,Urgent
Last Chance to Apply,50,52,Follow-up,Customer,Persuasive
Exclusive Offer Inside,49,13,Announcement,HR,Formal
Your Application Status,44,45,Marketing,Customer,Formal
Action Required Today,59,43,Announcement,Professor,Formal
Your Application Status,78,39,Follow-up,Professor,Formal
Meeting Reminder,62,15,Announcement,HR,Urgent
Internship Opportunity,83,16,Job,Professor,Friendly
Last Chance to Apply,58,53,Marketing,HR,Urgent
Quick Follow-Up,36,12,Follow-up,Professor,Friendly
Urgent: Interview Update,50,41,Job,HR,Persuasive
Your Application Status,83,39,Marketing,Client,Persuasive
Internship Opportunity,45,21,Announcement,Client,Friendly
Meeting Reminder,60,47,Follow-up,Customer,Persuasive
Your Application Status,50,19,Job,Professor,Formal
Project Update,70,19,Marketing,HR,Formal
Urgent: Interview Update,49,9,Job,Professor,Formal
Internship Opportunity,50,22,Announcement,Client,Friendly
Project Update,71,35,Marketing,Customer,Persuasive
Important Job Opportunity,41,11,Announcement,Professor,Persuasive
Action Required Today,64,60,Job,HR,Formal
Action Required Today,81,26,Job,Client,Friendly
Important Job Opportunity,69,33,Marketing,Customer,Friendly
Meeting Reminder,64,20,Job,Customer,Formal
Urgent: Interview Update,76,39,Job,HR,Friendly
Last Chance to Apply,61,36,Announcement,Client,Persuasive
Urgent: Interview Update,45,29,Job,Customer,Urgent
Quick Follow-Up,53,32,Announcement,Client,Friendly
Meeting Reminder,48,8,Job,Professor,Formal
Urgent: Interview Update,72,35,Marketing,HR,Formal
Last Chance to Apply,39,43,Job,Client,Persuasive
Your Application Status,95,41,Marketing,HR,Formal
Action Required Today,77,42,Follow-up,Professor,Friendly
Exclusive Offer Inside,50,21,Announcement,Client,Urgent
Quick Follow-Up,55,53,Job,HR,Persuasive
Project Update,71,11,Job,Client,Urgent
Last Chance to Apply,94,27,Job,Client,Urgent
Meeting Reminder,45,33,Follow-up,HR,Urgent
Your Application Status,95,13,Follow-up,HR,Formal
Internship Opportunity,44,22,Follow-up,Client,Urgent
Important Job Opportunity,78,45,Follow-up,Customer,Urgent
Urgent: Interview Update,40,45,Announcement,Professor,Formal
Urgent: Interview Update,56,54,Marketing,Professor,Friendly
Quick Follow-Up,70,50,Announcement,HR,Formal
Your Application Status,95,49,Marketing,HR,Urgent
Project Update,70,14,Announcement,Client,Formal
Meeting Reminder,58,55,Job,Professor,Friendly
Important Job Opportunity,77,11,Follow-up,Customer,Friendly
Important Job Opportunity,90,15,Marketing,Customer,Formal
Last Chance to Apply,82,26,Announcement,Client,Urgent
Last Chance to Apply,85,49,Job,Customer,Formal
Quick Follow-Up,49,17,Announcement,Professor,Urgent
Important Job Opportunity,49,6,Marketing,Customer,Urgent
Meeting Reminder,90,9,Follow-up,Professor,Persuasive
Internship Opportunity,56,6,Job,Professor,Friendly
Project Update,51,7,Job,Customer,Urgent
Exclusive Offer Inside,62,43,Job,Customer,Friendly
Meeting Reminder,37,50,Announcement,HR,Friendly
Exclusive Offer Inside,62,9,Follow-up,Professor,Formal
Meeting Reminder,67,24,Announcement,Professor,Persuasive
Meeting Reminder,70,13,Marketing,Customer,Persuasive
Last Chance to Apply,74,41,Follow-up,Customer,Formal
Meeting Reminder,53,18,Announcement,Professor,Persuasive
Quick Follow-Up,63,48,Marketing,Customer,Friendly
Your Application Status,53,37,Follow-up,HR,Friendly
Meeting Reminder,49,56,Marketing,Client,Formal
Urgent: Interview Update,50,35,Job,Customer,Persuasive
Project Update,47,50,Announcement,Customer,Persuasive
Important Job Opportunity,44,46,Job,HR,Persuasive
Important Job Opportunity,46,56,Announcement,HR,Friendly
Your Application Status,64,13,Announcement,Professor,Persuasive
Project Update,87,51,Announcement,Customer,Friendly
Quick Follow-Up,63,21,Marketing,Professor,Persuasive
Important Job Opportunity,52,33,Job,Professor,Friendly
Meeting Reminder,56,25,Job,Client,Friendly
Important Job Opportunity,59,49,Marketing,Client,Formal
Action Required Today,61,26,Announcement,Customer,Formal
Important Job Opportunity,88,31,Announcement,HR,Persuasive
Quick Follow-Up,35,27,Follow-up,Customer,Persuasive
Internship Opportunity,82,52,Marketing,Customer,Friendly
Meeting Reminder,62,36,Job,Customer,Urgent
Action Required Today,81,15,Announcement,Client,Formal
Action Required Today,72,41,Job,HR,Persuasive
Last Chance to Apply,90,34,Marketing,HR,Urgent
Action Required Today,55,18,Announcement,Professor,Urgent
Action Required Today,52,53,Announcement,Professor,Formal
Quick Follow-Up,36,52,Job,Professor,Friendly
Your Application Status,84,46,Job,HR,Friendly
Important Job Opportunity,88,6,Marketing,Client,Friendly
Quick Follow-Up,77,12,Marketing,Customer,Urgent
Exclusive Offer Inside,45,43,Job,Client,Urgent
Your Application Status,72,6,Follow-up,Customer,Persuasive
