subject_line,label
Win a FREE iPhone Today,spam
Team Weekly Report,safe
Claim Your Reward Now,spam
Project Status Update,safe
Win a FREE iPhone Today,spam
Interview Scheduled for Monday,safe
Congratulations! You Won,spam
Meeting Reminder,safe
Congratulations! You Won,spam
Interview Scheduled for Monday,safe
Claim Your Reward Now,spam
Interview Scheduled for Monday,safe
Limited Time Deal,spam
Project Status Update,safe
Congratulations! You Won,spam
Application Status Update,safe
Congratulations! You Won,spam
Project Status Update,safe
Exclusive Offer Just for You,spam
Meeting Reminder,safe
Exclusive Offer Just for You,spam
Interview Scheduled for Monday,safe
Win a FREE iPhone Today,spam
Team Weekly Report,safe
Claim Your Reward Now,spam
Team Weekly Report,safe
Win a FREE iPhone Today,spam
Project Status Update,safe
Congratulations! You Won,spam
Project Status Update,safe
Win a FREE iPhone Today,spam
Application Status Update,safe
Congratulations! You Won,spam
Project Status Update,safe
Exclusive Offer Just for You,spam
Interview Scheduled for Monday,safe
Win a FREE iPhone Today,spam
Meeting Reminder,safe
Limited Time Deal,spam
Team Weekly Report,safe
Win a FREE iPhone Today,spam
Meeting Reminder,safe
Exclusive Offer Just for You,spam
Application Status Update,safe
Limited Time Deal,spam
Team Weekly Report,safe
Congratulations! You Won,spam
Project Status Update,safe
Limited Time Deal,spam
Application Status Update,safe
Exclusive Offer Just for You,spam
Project Status Update,safe
Win a FREE iPhone Today,spam
Meeting Reminder,safe
Claim Your Reward Now,spam
Application Status Update,safe
Exclusive Offer Just for You,spam
Project Status Update,safe
Win a FREE iPhone Today,spam
Meeting Reminder,safe
Exclusive Offer Just for You,spam
Team Weekly Report,safe
Claim Your Reward Now,spam
Project Status Update,safe
Limited Time Deal,spam
Application Status Update,safe
Congratulations! You Won,spam
Team Weekly Report,safe
Exclusive Offer Just for You,spam
Interview Scheduled for Monday,safe
Congratulations! You Won,spam
Interview Scheduled for Monday,safe
Claim Your Reward Now,spam
Project Status Update,safe
Congratulations! You Won,spam
Meeting Reminder,safe
Claim Your Reward Now,spam
Interview Scheduled for Monday,safe
Exclusive Offer Just for You,spam
Application Status Update,safe
Claim Your Reward Now,spam
Application Status Update,safe
Exclusive Offer Just for You,spam
Meeting Reminder,safe
Exclusive Offer Just for You,spam
Team Weekly Report,safe
Limited Time Deal,spam
Interview Scheduled for Monday,safe
Exclusive Offer Just for You,spam
Meeting Reminder,safe
Claim Your Reward Now,spam
Interview Scheduled for Monday,safe
Win a FREE iPhone Today,spam
Application Status Update,safe
Exclusive Offer Just for You,spam
Project Status Update,safe
Congratulations! You Won,spam
Team Weekly Report,safe
Exclusive Offer Just for You,spam
Interview Scheduled for Monday,safe
Exclusive Offer Just for You,spam
Meeting Reminder,safe
Limited Time Deal,spam
Project Status Update,safe
Claim Your Reward Now,spam
Project Status Update,safe
Congratulations! You Won,spam
Project Status Update,safe
Congratulations! You Won,spam
Team Weekly Report,safe
Exclusive Offer Just for You,spam
Application Status Update,safe
Limited Time Deal,spam
Application Status Update,safe
Limited Time Deal,spam
Project Status Update,safe
